curator_PersonName,curator_organization,curator_email,modification_date,addit_contact_person,addit_contact_email,project_id,dataset_id,data_class,header_row,time_series,gradient_study,experiments,meta_tbl,key_modified,merge_align,align_1,key_version,network,homog_date,L1,L1_level,L2,L2_level,L3,L3_level,IGSN,layer_top,layer_bot,oc_ex,oc_ex_method
Derek Pierson,CZN Geomicrobiology,derek.pierson@usda.gov,12/30/2022,Micah Unruh,micah.unruh@ku.edu,CZN_GeoMicro,EOC,analyte,1,YES,YES,NO,NO,YES,NO,IGSN,V3,CZN,1/3/2023 13:34,CA,location,SD,site,R,landscape position,IECZM0029,40,50,0.055092784,hot water
Derek Pierson,CZN Geomicrobiology,derek.pierson@usda.gov,12/30/2022,Micah Unruh,micah.unruh@ku.edu,CZN_GeoMicro,EOC,analyte,1,YES,YES,NO,NO,YES,NO,IGSN,V3,CZN,1/3/2023 13:34,CA,location,SD,site,R,landscape position,IECZM0028,30,40,0.059425051,hot water
Derek Pierson,CZN Geomicrobiology,derek.pierson@usda.gov,12/30/2022,Micah Unruh,micah.unruh@ku.edu,CZN_GeoMicro,EOC,analyte,1,YES,YES,NO,NO,YES,NO,IGSN,V3,CZN,1/3/2023 13:34,CA,location,SD,site,T,landscape position,IECZM002F,50,55,0.025314402,hot water
Derek Pierson,CZN Geomicrobiology,derek.pierson@usda.gov,12/30/2022,Micah Unruh,micah.unruh@ku.edu,CZN_GeoMicro,EOC,analyte,1,YES,YES,NO,NO,YES,NO,IGSN,V3,CZN,1/3/2023 13:34,CA,location,SD,site,T,landscape position,IECZM002L,95,100,0.032008197,hot water
Derek Pierson,CZN Geomicrobiology,derek.pierson@usda.gov,12/30/2022,Micah Unruh,micah.unruh@ku.edu,CZN_GeoMicro,EOC,analyte,1,YES,YES,NO,NO,YES,NO,IGSN,V3,CZN,1/3/2023 13:34,CA,location,MC,site,M,landscape position,IECZM002U,60,65,0.190240964,hot water
Derek Pierson,CZN Geomicrobiology,derek.pierson@usda.gov,12/30/2022,Micah Unruh,micah.unruh@ku.edu,CZN_GeoMicro,EOC,analyte,1,YES,YES,NO,NO,YES,NO,IGSN,V3,CZN,1/3/2023 13:34,CA,location,MC,site,M,landscape position,IECZM002O,10,20,0.086774942,hot water
Derek Pierson,CZN Geomicrobiology,derek.pierson@usda.gov,12/30/2022,Micah Unruh,micah.unruh@ku.edu,CZN_GeoMicro,EOC,analyte,1,YES,YES,NO,NO,YES,NO,IGSN,V3,CZN,1/3/2023 13:34,CA,location,MC,site,T,landscape position,IECZM0038,10,20,0.098156028,hot water
Derek Pierson,CZN Geomicrobiology,derek.pierson@usda.gov,12/30/2022,Micah Unruh,micah.unruh@ku.edu,CZN_GeoMicro,EOC,analyte,1,YES,YES,NO,NO,YES,NO,IGSN,V3,CZN,1/3/2023 13:34,CA,location,MC,site,T,landscape position,IECZM003D,43,50,0.142837529,hot water
Derek Pierson,CZN Geomicrobiology,derek.pierson@usda.gov,12/30/2022,Micah Unruh,micah.unruh@ku.edu,CZN_GeoMicro,EOC,analyte,1,YES,YES,NO,NO,YES,NO,IGSN,V3,CZN,1/3/2023 13:34,CA,location,MC,site,M,landscape position,IECZM002P,20,30,0.088494118,hot water
Derek Pierson,CZN Geomicrobiology,derek.pierson@usda.gov,12/30/2022,Micah Unruh,micah.unruh@ku.edu,CZN_GeoMicro,EOC,analyte,1,YES,YES,NO,NO,YES,NO,IGSN,V3,CZN,1/3/2023 13:34,CA,location,MC,site,M,landscape position,IECZM002Q,30,40,0.121922197,hot water
Derek Pierson,CZN Geomicrobiology,derek.pierson@usda.gov,12/30/2022,Micah Unruh,micah.unruh@ku.edu,CZN_GeoMicro,EOC,analyte,1,YES,YES,NO,NO,YES,NO,IGSN,V3,CZN,1/3/2023 13:34,CA,location,MC,site,M,landscape position,IECZM002M,0,5,0.120669856,hot water
Derek Pierson,CZN Geomicrobiology,derek.pierson@usda.gov,12/30/2022,Micah Unruh,micah.unruh@ku.edu,CZN_GeoMicro,EOC,analyte,1,YES,YES,NO,NO,YES,NO,IGSN,V3,CZN,1/3/2023 13:34,CA,location,MC,site,M,landscape position,IECZM002T,55,60,0.162050114,hot water
Derek Pierson,CZN Geomicrobiology,derek.pierson@usda.gov,12/30/2022,Micah Unruh,micah.unruh@ku.edu,CZN_GeoMicro,EOC,analyte,1,YES,YES,NO,NO,YES,NO,IGSN,V3,CZN,1/3/2023 13:34,CA,location,SD,site,R,landscape position,IECZM0027,20,30,0.043680982,hot water
Derek Pierson,CZN Geomicrobiology,derek.pierson@usda.gov,12/30/2022,Micah Unruh,micah.unruh@ku.edu,CZN_GeoMicro,EOC,analyte,1,YES,YES,NO,NO,YES,NO,IGSN,V3,CZN,1/3/2023 13:34,CA,location,SD,site,T,landscape position,IECZM002K,90,95,0.026942149,hot water
Derek Pierson,CZN Geomicrobiology,derek.pierson@usda.gov,12/30/2022,Micah Unruh,micah.unruh@ku.edu,CZN_GeoMicro,EOC,analyte,1,YES,YES,NO,NO,YES,NO,IGSN,V3,CZN,1/3/2023 13:34,CA,location,MC,site,M,landscape position,IECZM002R,40,50,0.147297921,hot water
Derek Pierson,CZN Geomicrobiology,derek.pierson@usda.gov,12/30/2022,Micah Unruh,micah.unruh@ku.edu,CZN_GeoMicro,EOC,analyte,1,YES,YES,NO,NO,YES,NO,IGSN,V3,CZN,1/3/2023 13:34,CA,location,MC,site,M,landscape position,NA,65,70,0.150761905,hot water
Derek Pierson,CZN Geomicrobiology,derek.pierson@usda.gov,12/30/2022,Micah Unruh,micah.unruh@ku.edu,CZN_GeoMicro,EOC,analyte,1,YES,YES,NO,NO,YES,NO,IGSN,V3,CZN,1/3/2023 13:34,CA,location,SD,site,T,landscape position,IECZM002G,55,60,0.043878788,hot water
Derek Pierson,CZN Geomicrobiology,derek.pierson@usda.gov,12/30/2022,Micah Unruh,micah.unruh@ku.edu,CZN_GeoMicro,EOC,analyte,1,YES,YES,NO,NO,YES,NO,IGSN,V3,CZN,1/3/2023 13:34,CA,location,MC,site,T,landscape position,IECZM003H,80,85,0.232030075,hot water
Derek Pierson,CZN Geomicrobiology,derek.pierson@usda.gov,12/30/2022,Micah Unruh,micah.unruh@ku.edu,CZN_GeoMicro,EOC,analyte,1,YES,YES,NO,NO,YES,NO,IGSN,V3,CZN,1/3/2023 13:34,CA,location,MC,site,T,landscape position,IECZM0036,0,6,0.07893617,hot water
