"curator_PersonName","addit_contact_email","key_version","network","site_code","location_name","homog_date","L1","L1_level","L2","L2_level","tx_L1","tx_L1_level","tx_L2","tx_L2_level","LTSP_core_id","layer_top","layer_bot","lyr_n_tot","lyr_c_to_n"
"Derek Pierson","derek.pierson@usda.gov","V3","LTSP","1","Priest River",2023-07-19 18:45:58,2,"Plot",1,"Replicate","Yes","vegetation",1,"amelioration","C0OM0",0,10,0.143,24.68531469
"Derek Pierson","derek.pierson@usda.gov","V3","LTSP","1","Priest River",2023-07-19 18:45:58,2,"Plot",1,"Replicate","Yes","vegetation",1,"amelioration","C0OM0",20,30,0.111,19.69369369
"Derek Pierson","derek.pierson@usda.gov","V3","LTSP","1","Priest River",2023-07-19 18:45:58,2,"Plot",1,"Replicate","Yes","vegetation",1,"amelioration","C0OM0",10,20,0.14,16.26428571
"Derek Pierson","derek.pierson@usda.gov","V3","LTSP","1","Priest River",2023-07-19 18:45:58,2,"Plot",1,"Replicate","Yes","vegetation",1,"amelioration","C0OM0",10,20,0.11,31.3
"Derek Pierson","derek.pierson@usda.gov","V3","LTSP","1","Priest River",2023-07-19 18:45:58,2,"Plot",1,"Replicate","Yes","vegetation",1,"amelioration","C0OM0",0,10,0.125,15.784
"Derek Pierson","derek.pierson@usda.gov","V3","LTSP","1","Priest River",2023-07-19 18:45:58,3,"Plot",1,"Replicate","No","vegetation",1,"amelioration","C0OM1",0,10,0.123,19.14634146
"Derek Pierson","derek.pierson@usda.gov","V3","LTSP","1","Priest River",2023-07-19 18:45:58,3,"Plot",1,"Replicate","No","vegetation",1,"amelioration","C0OM1",10,20,0.088,21.70454545
"Derek Pierson","derek.pierson@usda.gov","V3","LTSP","1","Priest River",2023-07-19 18:45:58,3,"Plot",1,"Replicate","No","vegetation",1,"amelioration","C0OM1",20,30,0.126,18.8015873
"Derek Pierson","derek.pierson@usda.gov","V3","LTSP","1","Priest River",2023-07-19 18:45:58,3,"Plot",1,"Replicate","No","vegetation",1,"amelioration","C0OM1",10,20,0.096,16.76041667
"Derek Pierson","derek.pierson@usda.gov","V3","LTSP","1","Priest River",2023-07-19 18:45:58,3,"Plot",1,"Replicate","No","vegetation",1,"amelioration","C0OM1",0,10,0.052,17.46153846
"Derek Pierson","derek.pierson@usda.gov","V3","LTSP","1","Priest River",2023-07-19 18:45:58,3,"Plot",1,"Replicate","No","vegetation",1,"amelioration","C0OM1",10,20,0.073,14.76712329
"Derek Pierson","derek.pierson@usda.gov","V3","LTSP","1","Priest River",2023-07-19 18:45:58,3,"Plot",1,"Replicate","No","vegetation",1,"amelioration","C0OM1",10,20,0.121,20.38016529
"Derek Pierson","derek.pierson@usda.gov","V3","LTSP","1","Priest River",2023-07-19 18:45:58,3,"Plot",1,"Replicate","Yes","vegetation",1,"amelioration","C0OM1",0,10,0.202,21.5049505
"Derek Pierson","derek.pierson@usda.gov","V3","LTSP","1","Priest River",2023-07-19 18:45:58,3,"Plot",1,"Replicate","Yes","vegetation",1,"amelioration","C0OM1",20,30,0.216,14.19444444
"Derek Pierson","derek.pierson@usda.gov","V3","LTSP","1","Priest River",2023-07-19 18:45:58,3,"Plot",1,"Replicate","Yes","vegetation",1,"amelioration","C0OM1",0,10,0.124,21.59677419
"Derek Pierson","derek.pierson@usda.gov","V3","LTSP","1","Priest River",2023-07-19 18:45:58,3,"Plot",1,"Replicate","Yes","vegetation",1,"amelioration","C0OM1",0,10,0.065,15.06153846
"Derek Pierson","derek.pierson@usda.gov","V3","LTSP","1","Priest River",2023-07-19 18:45:58,3,"Plot",1,"Replicate","Yes","vegetation",1,"amelioration","C0OM1",10,20,0.116,21.10344828
"Derek Pierson","derek.pierson@usda.gov","V3","LTSP","1","Priest River",2023-07-19 18:45:58,3,"Plot",1,"Replicate","Yes","vegetation",1,"amelioration","C0OM1",20,30,0.029,24.55172414
"Derek Pierson","derek.pierson@usda.gov","V3","LTSP","1","Priest River",2023-07-19 18:45:58,3,"Plot",1,"Replicate","Yes","vegetation",1,"amelioration","C0OM1",20,30,0.015,19.93333333
"Derek Pierson","derek.pierson@usda.gov","V3","LTSP","1","Priest River",2023-07-19 18:45:58,3,"Plot",1,"Replicate","Yes","vegetation",1,"amelioration","C0OM1",20,30,0.109,43.46788991
"Derek Pierson","derek.pierson@usda.gov","V3","LTSP","1","Priest River",2023-07-19 18:45:58,11,"Plot",1,"Replicate","No","vegetation",1,"amelioration","C0OM2",0,10,0.255,22.04705882
"Derek Pierson","derek.pierson@usda.gov","V3","LTSP","1","Priest River",2023-07-19 18:45:58,11,"Plot",1,"Replicate","No","vegetation",1,"amelioration","C0OM2",10,20,0.228,17.65350877
"Derek Pierson","derek.pierson@usda.gov","V3","LTSP","1","Priest River",2023-07-19 18:45:58,11,"Plot",1,"Replicate","No","vegetation",1,"amelioration","C0OM2",20,30,0.1,17.89
"Derek Pierson","derek.pierson@usda.gov","V3","LTSP","1","Priest River",2023-07-19 18:45:58,11,"Plot",1,"Replicate","No","vegetation",1,"amelioration","C0OM2",0,10,0.128,16.546875
"Derek Pierson","derek.pierson@usda.gov","V3","LTSP","1","Priest River",2023-07-19 18:45:58,11,"Plot",1,"Replicate","No","vegetation",1,"amelioration","C0OM2",10,20,0.157,18.14012739
"Derek Pierson","derek.pierson@usda.gov","V3","LTSP","1","Priest River",2023-07-19 18:45:58,11,"Plot",1,"Replicate","No","vegetation",1,"amelioration","C0OM2",20,30,0.124,16.73387097
"Derek Pierson","derek.pierson@usda.gov","V3","LTSP","1","Priest River",2023-07-19 18:45:58,11,"Plot",1,"Replicate","No","vegetation",1,"amelioration","C0OM2",0,10,0.174,20.71264368
"Derek Pierson","derek.pierson@usda.gov","V3","LTSP","1","Priest River",2023-07-19 18:45:58,11,"Plot",1,"Replicate","No","vegetation",1,"amelioration","C0OM2",20,30,0.09,17.85555556
"Derek Pierson","derek.pierson@usda.gov","V3","LTSP","1","Priest River",2023-07-19 18:45:58,11,"Plot",1,"Replicate","Yes","vegetation",1,"amelioration","C0OM2",10,20,0.13,20.5
"Derek Pierson","derek.pierson@usda.gov","V3","LTSP","1","Priest River",2023-07-19 18:45:58,11,"Plot",1,"Replicate","Yes","vegetation",1,"amelioration","C0OM2",20,30,0.213,22.25821596
"Derek Pierson","derek.pierson@usda.gov","V3","LTSP","1","Priest River",2023-07-19 18:45:58,11,"Plot",1,"Replicate","Yes","vegetation",1,"amelioration","C0OM2",0,10,0.135,16.03703704
"Derek Pierson","derek.pierson@usda.gov","V3","LTSP","1","Priest River",2023-07-19 18:45:58,11,"Plot",1,"Replicate","Yes","vegetation",1,"amelioration","C0OM2",10,20,0.126,18.04761905
"Derek Pierson","derek.pierson@usda.gov","V3","LTSP","1","Priest River",2023-07-19 18:45:58,11,"Plot",1,"Replicate","Yes","vegetation",1,"amelioration","C0OM2",20,30,0.082,18.29268293
"Derek Pierson","derek.pierson@usda.gov","V3","LTSP","1","Priest River",2023-07-19 18:45:58,11,"Plot",1,"Replicate","Yes","vegetation",1,"amelioration","C0OM2",0,10,0.156,18.76282051
"Derek Pierson","derek.pierson@usda.gov","V3","LTSP","1","Priest River",2023-07-19 18:45:58,11,"Plot",1,"Replicate","Yes","vegetation",1,"amelioration","C0OM2",10,20,0.044,21.65909091
"Derek Pierson","derek.pierson@usda.gov","V3","LTSP","1","Priest River",2023-07-19 18:45:58,11,"Plot",1,"Replicate","Yes","vegetation",1,"amelioration","C0OM2",20,30,0.065,19.75384615
"Derek Pierson","derek.pierson@usda.gov","V3","LTSP","1","Priest River",2023-07-19 18:45:58,12,"Plot",1,"Replicate","No","vegetation",1,"amelioration","C0OM2",0,10,0.106,33.29245283
"Derek Pierson","derek.pierson@usda.gov","V3","LTSP","1","Priest River",2023-07-19 18:45:58,12,"Plot",1,"Replicate","No","vegetation",1,"amelioration","C0OM2",10,20,0.169,18.79289941
"Derek Pierson","derek.pierson@usda.gov","V3","LTSP","1","Priest River",2023-07-19 18:45:58,12,"Plot",1,"Replicate","No","vegetation",1,"amelioration","C0OM2",20,30,0.167,19.41916168
"Derek Pierson","derek.pierson@usda.gov","V3","LTSP","1","Priest River",2023-07-19 18:45:58,12,"Plot",1,"Replicate","No","vegetation",1,"amelioration","C0OM2",0,10,0.101,30.44554455
"Derek Pierson","derek.pierson@usda.gov","V3","LTSP","1","Priest River",2023-07-19 18:45:58,12,"Plot",1,"Replicate","No","vegetation",1,"amelioration","C0OM2",10,20,0.098,17.01020408
"Derek Pierson","derek.pierson@usda.gov","V3","LTSP","1","Priest River",2023-07-19 18:45:58,12,"Plot",1,"Replicate","No","vegetation",1,"amelioration","C0OM2",20,30,0.091,20.72527473
"Derek Pierson","derek.pierson@usda.gov","V3","LTSP","1","Priest River",2023-07-19 18:45:58,12,"Plot",1,"Replicate","No","vegetation",1,"amelioration","C0OM2",0,10,0.065,19.67692308
